0.5	0.5	0.549031847	0.281017306
1.25	0.25	0.378145223	0.1908762
1.75	0.25	0.257503185	0.087133459
2.25	0.25	0.14465322	0.041114027
2.75	0.25	0.070758541	0.018852181
3.25	0.25	0.035406712	0.011058137
3.75	0.25	0.015685308	0.00502982
4.25	0.25	0.007487149	0.002539011
4.75	0.25	0.003660174	0.00126599
5.25	0.25	0.001874583	0.000576735
5.75	0.25	0.001152949	0.000344418
6.25	0.25	0.000643233	0.000204184
6.75	0.25	0.000409925	0.000127045
7.25	0.25	0.000288572	8.9851E-05
7.75	0.25	0.000190449	5.92098E-05
8.5	0.5	0.000119029	3.29431E-05
9.5	0.5	6.49351E-05	1.70412E-05
11	1	3.07795E-05	7.81432E-06
14	2	9.13368E-06	2.61109E-06
20	4	1.57437E-06	3.93964E-07
30	5	1.66676E-07	4.44087E-08
43	7	1.61244E-08	6.93595E-09
