0.357294	0.001509	0.003613221
0.454548	0.00593	0.002841356
0.552581	0.008946	0.002856322
0.651331	0.012302	0.00290311
0.750812	0.016672	0.003035892
0.849618	0.025112	0.003669157
0.948811	0.02903	0.003733525
1.04854	0.036755	0.003982714
1.14849	0.043705	0.004192542
1.24882	0.055023	0.00448431
1.34859	0.063961	0.004693875
1.44937	0.072253	0.004864181
1.54923	0.084423	0.005048536
1.64909	0.095785	0.005159119
1.74897	0.103344	0.005163543
1.84876	0.113952	0.005241791
1.94872	0.123385	0.005230684
