#: table_doi: 10.17182/hepdata.127980.v2/t1
#: name: Table 1
#: description: $p_\mathrm{T}$-differential production yield of prompt $\mathrm{D_s^+}$ mesons in the 0-10% centrality class in Pb-Pb collisions at $\sqrt{{s_\mathrm{NN}}}=5.02~\mathrm{{TeV}}$ in the rapidity interval $|y|<0.5$.
Branching ratio of $\mathrm{D_s^+\to \phi\pi^+\to K^-K^+\pi^+}$: 0.0224
#: data_file: table_1.yaml
#: keyword observables: DN/DPT
#: keyword reactions: PBPB --> Ds + X
#: keyword cmenergies: 5020.0
#: CENTRALITY,,,0.0-10.0 pct
#: REACTION,,,PBPB --> Ds + X
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: YRAP,,,-0.5 TO 0.5
$p_\mathrm{T}$ [$\mathrm{GeV}/c$],$p_\mathrm{T}$ [$\mathrm{GeV}/c$] LOW,$p_\mathrm{T}$ [$\mathrm{GeV}/c$] HIGH,$\mathrm{d}N/\mathrm{d}p_\mathrm{T}$ [$\mathrm{GeV}^{-1}~c$],stat +,stat -,sys +,sys -,"sys, branching ratio unc. +","sys, branching ratio unc. -"
2.5,2.0,3.0,0.3943,0.055913,-0.055913,0.077088,-0.09579,3.5714%,-3.5714%
3.5,3.0,4.0,0.13508,0.01301,-0.01301,0.024667,-0.032184,3.5714%,-3.5714%
4.5,4.0,5.0,0.047561,0.0035721,-0.0035721,0.0089874,-0.012159,3.5714%,-3.5714%
5.5,5.0,6.0,0.015908,0.0011442,-0.0011442,0.003014,-0.0042957,3.5714%,-3.5714%
7.0,6.0,8.0,0.0047236,0.00033274,-0.00033274,0.00086076,-0.0012537,3.5714%,-3.5714%
10.0,8.0,12.0,0.00090024,4.512e-05,-4.512e-05,0.00016428,-0.00024028,3.5714%,-3.5714%
14.0,12.0,16.0,0.00020899,1.227e-05,-1.227e-05,3.3042e-05,-4.6764e-05,3.5714%,-3.5714%
20.0,16.0,24.0,4.4324e-05,3.3611e-06,-3.3611e-06,6.1417e-06,-9.5796e-06,3.5714%,-3.5714%
30.0,24.0,36.0,8.1139e-06,1.1094e-06,-1.1094e-06,1.2463e-06,-2.0347e-06,3.5714%,-3.5714%
43.0,36.0,50.0,1.3475e-06,4.7078e-07,-4.7078e-07,2.0912e-07,-3.4594e-07,3.5714%,-3.5714%

