0.5	1	0.12378785	0.058869672
1.25	0.5	0.075082554	0.048033161
1.75	0.5	0.039053804	0.013564327
2.25	0.5	0.023628638	0.006134334
2.75	0.5	0.011537634	0.002863097
3.25	0.5	0.006103225	0.001796195
3.75	0.5	0.003206064	0.000982968
4.25	0.5	0.001708474	0.000489885
4.75	0.5	0.000942794	0.000277723
5.25	0.5	0.000568799	0.000158802
5.75	0.5	0.000341339	9.37347E-05
6.25	0.5	0.000213903	6.30047E-05
6.75	0.5	0.000142415	4.13179E-05
7.25	0.5	9.35E-05	2.74032E-05
7.75	0.5	7.44E-05	2.15612E-05
8.5	1	4.36E-05	1.09819E-05
9.5	1	2.42E-05	5.70948E-06
11	2	1.12E-05	2.45379E-06
14	4	3.22E-06	6.77901E-07
20	8	4.81E-07	9.40014E-08
30	12	5.79E-08	1.56394E-08
43	14	5.77E-09	3.3748E-09
