# pt    v2
2.500000000000000000e-01    1.025451119767802587e-02
5.000000000000000000e-01    1.909954250517706398e-02
7.500000000000000000e-01    2.682140064458097065e-02
1.000000000000000000e+00    3.357341446346959885e-02
1.250000000000000000e+00    3.952820372400875359e-02
1.500000000000000000e+00    4.484949898022255049e-02
1.750000000000000000e+00    4.965006937456137304e-02
2.000000000000000000e+00    5.397226467367507302e-02
2.250000000000000000e+00    5.781329692138181126e-02
2.500000000000000000e+00    6.117418452402834800e-02
2.750000000000000000e+00    6.407187300788529105e-02
3.000000000000000000e+00    6.653279314989134219e-02
3.250000000000000000e+00    6.859171119866309951e-02
3.500000000000000000e+00    7.029132459893834561e-02
3.750000000000000000e+00    7.167867751801160203e-02
4.000000000000000000e+00    7.280074444168210812e-02
4.250000000000000000e+00    7.370045712133592442e-02
4.500000000000000000e+00    7.441462081222767477e-02
4.750000000000000000e+00    7.497353507486562152e-02
5.000000000000000000e+00    7.540176506380989740e-02
5.250000000000000000e+00    7.571955106518910017e-02
5.500000000000000000e+00    7.594414651462262633e-02
5.750000000000000000e+00    7.609092623087687635e-02
6.000000000000000000e+00    7.617410104111445313e-02
6.250000000000000000e+00    7.620692066773609996e-02
6.500000000000000000e+00    7.620167683060163899e-02
6.750000000000000000e+00    7.616939957847232434e-02
7.000000000000000000e+00    7.611963119803151490e-02
7.250000000000000000e+00    7.606020923111318777e-02
7.500000000000000000e+00    7.599720663611835014e-02
7.750000000000000000e+00    7.593504828255621952e-02
8.000000000000000000e+00    7.587668201474982721e-02
8.250000000000000000e+00    7.582385689031229115e-02
8.500000000000000000e+00    7.577740054141955672e-02
8.750000000000000000e+00    7.573747373751660295e-02
9.000000000000000000e+00    7.570380653335422039e-02
9.250000000000000000e+00    7.567586033528789224e-02
9.500000000000000000e+00    7.565297539338135258e-02
9.750000000000000000e+00    7.563444496878785062e-02
1.000000000000000000e+01    7.561959082336223992e-02
1.025000000000000000e+01    7.560778235743054188e-02
1.050000000000000000e+01    7.559846759475788436e-02
1.075000000000000000e+01    7.559116591568031118e-02
1.100000000000000000e+01    7.558547728648942754e-02
1.125000000000000000e+01    7.558106632825699334e-02
1.150000000000000000e+01    7.557766323207427972e-02
1.175000000000000000e+01    7.557504708391558912e-02
1.200000000000000000e+01    7.557304435040176904e-02
1.225000000000000000e+01    7.557151527082066333e-02
1.250000000000000000e+01    7.557035200350692428e-02
1.275000000000000000e+01    7.556946874381691159e-02
1.300000000000000000e+01    7.556880016876157957e-02
1.325000000000000000e+01    7.556829476586277017e-02
1.350000000000000000e+01    7.556791375417730439e-02
1.375000000000000000e+01    7.556762674212397224e-02
1.400000000000000000e+01    7.556741107314411676e-02
1.425000000000000000e+01    7.556724905910643109e-02
1.450000000000000000e+01    7.556712762782602510e-02
1.475000000000000000e+01    7.556703659775879101e-02
1.500000000000000000e+01    7.556696850349817196e-02
