# pt    v2
2.500000000000000000e-01    3.181867948214483349e-02
5.000000000000000000e-01    5.924995659700154488e-02
7.500000000000000000e-01    8.319230266608519664e-02
1.000000000000000000e+00    1.041231928335890206e-01
1.250000000000000000e+00    1.225520735979844511e-01
1.500000000000000000e+00    1.389343544393091823e-01
1.750000000000000000e+00    1.535435094002769729e-01
2.000000000000000000e+00    1.664359369551154655e-01
2.250000000000000000e+00    1.775675307150169357e-01
2.500000000000000000e+00    1.869539335387664092e-01
2.750000000000000000e+00    1.946944660864227961e-01
3.000000000000000000e+00    2.009389208456145437e-01
3.250000000000000000e+00    2.058721770719550981e-01
3.500000000000000000e+00    2.096945375745219997e-01
3.750000000000000000e+00    2.126030348750628240e-01
4.000000000000000000e+00    2.147733169284040677e-01
4.250000000000000000e+00    2.163516029110106320e-01
4.500000000000000000e+00    2.174541010425853904e-01
4.750000000000000000e+00    2.181707114167842909e-01
5.000000000000000000e+00    2.185727281300337277e-01
5.250000000000000000e+00    2.187177476862706138e-01
5.500000000000000000e+00    2.186562169878375761e-01
5.750000000000000000e+00    2.184330726305443449e-01
6.000000000000000000e+00    2.180905757099007025e-01
6.250000000000000000e+00    2.176670082391896910e-01
6.500000000000000000e+00    2.171971754241909802e-01
6.750000000000000000e+00    2.167104149004558944e-01
7.000000000000000000e+00    2.162307113551615867e-01
7.250000000000000000e+00    2.157757228888340650e-01
7.500000000000000000e+00    2.153576124439624817e-01
7.750000000000000000e+00    2.149832077212886217e-01
8.000000000000000000e+00    2.146553655310418085e-01
8.250000000000000000e+00    2.143736260288384432e-01
8.500000000000000000e+00    2.141354799095951666e-01
8.750000000000000000e+00    2.139369854588487607e-01
9.000000000000000000e+00    2.137735962613386276e-01
9.250000000000000000e+00    2.136405321413284153e-01
9.500000000000000000e+00    2.135331985715560321e-01
9.750000000000000000e+00    2.134473372257750245e-01
1.000000000000000000e+01    2.133791638490811771e-01
1.025000000000000000e+01    2.133253879288189436e-01
1.050000000000000000e+01    2.132832223542654726e-01
1.075000000000000000e+01    2.132503310167101485e-01
1.100000000000000000e+01    2.132248003930916902e-01
1.125000000000000000e+01    2.132050642130718654e-01
1.150000000000000000e+01    2.131898711305630634e-01
1.175000000000000000e+01    2.131782133148319991e-01
1.200000000000000000e+01    2.131693001535266141e-01
1.225000000000000000e+01    2.131625032474662174e-01
1.250000000000000000e+01    2.131573359627160491e-01
1.275000000000000000e+01    2.131534158568854642e-01
1.300000000000000000e+01    2.131504499198604019e-01
1.325000000000000000e+01    2.131482095936714227e-01
1.350000000000000000e+01    2.131465213431570915e-01
1.375000000000000000e+01    2.131452507876199498e-01
1.400000000000000000e+01    2.131442965173450665e-01
1.425000000000000000e+01    2.131435805296916786e-01
1.450000000000000000e+01    2.131430442703249051e-01
1.475000000000000000e+01    2.131426429234309361e-01
1.500000000000000000e+01    2.131423430018441756e-01
