          %pt            TT            TS            SS            SS2j            Tot
        0.250    4.09537E-02    3.41663E-04    2.01141E-06    8.29142E-09    4.12973E-02
        0.500    5.29449E-02    8.56229E-04    2.52735E-05    1.16324E-07    5.38265E-02
        0.750    4.98613E-02    1.28414E-03    8.20700E-05    4.87346E-07    5.12280E-02
        1.000    4.12172E-02    1.57085E-03    1.67330E-04    1.15873E-06    4.29566E-02
        1.250    3.16876E-02    1.73946E-03    2.64622E-04    2.00706E-06    3.36937E-02
        1.500    2.32721E-02    1.83214E-03    3.46340E-04    2.87596E-06    2.54535E-02
        1.750    1.65738E-02    1.86991E-03    3.84188E-04    3.63895E-06    1.88315E-02
        2.000    1.15525E-02    1.84824E-03    3.72580E-04    4.19092E-06    1.37775E-02
        2.250    7.92946E-03    1.75849E-03    3.36733E-04    4.45832E-06    1.00291E-02
        2.500    5.38176E-03    1.60843E-03    2.90400E-04    4.43590E-06    7.28502E-03
        2.750    3.62225E-03    1.41995E-03    2.41216E-04    4.18668E-06    5.28760E-03
        3.000    2.42274E-03    1.21603E-03    1.94484E-04    3.79517E-06    3.83705E-03
        3.250    1.61273E-03    1.01480E-03    1.53506E-04    3.33480E-06    2.78436E-03
        3.500    1.06960E-03    8.28169E-04    1.19573E-04    2.85873E-06    2.02020E-03
        3.750    7.07376E-04    6.63212E-04    9.26884E-05    2.40335E-06    1.46568E-03
        4.000    4.66784E-04    5.22696E-04    7.19440E-05    1.98961E-06    1.06341E-03
        4.250    3.07488E-04    4.06723E-04    5.61866E-05    1.62817E-06    7.72026E-04
        4.500    2.02276E-04    3.13328E-04    4.42659E-05    1.32108E-06    5.61191E-04
        4.750    1.32921E-04    2.39686E-04    3.52314E-05    1.06591E-06    4.08905E-04
        5.000    8.72721E-05    1.82510E-04    2.83362E-05    8.57050E-07    2.98975E-04
        5.250    5.72619E-05    1.38683E-04    2.30243E-05    6.88153E-07    2.19657E-04
        5.500    3.75517E-05    1.05361E-04    1.88927E-05    5.52522E-07    1.62358E-04
        5.750    2.46160E-05    8.01845E-05    1.56419E-05    4.44223E-07    1.20887E-04
        6.000    1.61313E-05    6.12107E-05    1.30615E-05    3.57913E-07    9.07614E-05
        6.250    1.05688E-05    4.69307E-05    1.09887E-05    2.89239E-07    6.87774E-05
        6.500    6.92319E-06    3.61670E-05    9.31211E-06    2.34532E-07    5.26369E-05
        6.750    4.53461E-06    2.80368E-05    7.94026E-06    1.90911E-07    4.07025E-05
        7.000    2.96992E-06    2.18696E-05    6.81193E-06    1.56023E-07    3.18075E-05
        7.250    1.94508E-06    1.71712E-05    5.87391E-06    1.28054E-07    2.51182E-05
        7.500    1.27388E-06    1.35708E-05    5.09124E-06    1.05538E-07    2.00414E-05
        7.750    8.34326E-07    1.07963E-05    4.43166E-06    8.73545E-08    1.61497E-05
        8.000    5.46468E-07    8.64419E-06    3.87430E-06    7.26025E-08    1.31376E-05
        8.250    3.57952E-07    6.96454E-06    3.39925E-06    6.05919E-08    1.07823E-05
        8.500    2.34489E-07    5.64480E-06    2.99328E-06    5.07671E-08    8.92333E-06
        8.750    1.53626E-07    4.60143E-06    2.64391E-06    4.27011E-08    7.44167E-06
        9.000    1.00660E-07    3.77120E-06    2.34244E-06    3.60485E-08    6.25035E-06
        9.250    6.59632E-08    3.10666E-06    2.08076E-06    3.05421E-08    5.28392E-06
        9.500    4.32319E-08    2.57155E-06    1.85307E-06    2.59644E-08    4.49382E-06
        9.750    2.83380E-08    2.13828E-06    1.65395E-06    2.21459E-08    3.84271E-06
       10.000    1.85779E-08    1.78555E-06    1.47945E-06    1.89474E-08    3.30253E-06
       10.250    1.21812E-08    1.49697E-06    1.32582E-06    1.62598E-08    2.85123E-06
       10.500    7.98830E-09    1.25969E-06    1.19036E-06    1.39928E-08    2.47203E-06
       10.750    5.23947E-09    1.06374E-06    1.07037E-06    1.20749E-08    2.15142E-06
       11.000    3.43710E-09    9.01182E-07    9.64027E-07    1.04465E-08    1.87909E-06
       11.250    2.25512E-09    7.65821E-07    8.69303E-07    9.06032E-09    1.64644E-06
       11.500    1.47986E-09    6.52621E-07    7.84982E-07    7.87620E-09    1.44696E-06
       11.750    9.71286E-10    5.57667E-07    7.09504E-07    6.86236E-09    1.27500E-06
       12.000    6.37602E-10    4.77685E-07    6.42052E-07    5.99147E-09    1.12637E-06
       12.250    4.18628E-10    4.10157E-07    5.81415E-07    5.24188E-09    9.97233E-07
       12.500    2.74905E-10    3.52909E-07    5.27033E-07    4.59463E-09    8.84811E-07
       12.750    1.80558E-10    3.04295E-07    4.77969E-07    4.03484E-09    7.86479E-07
       13.000    1.18611E-10    2.62844E-07    4.33819E-07    3.54917E-09    7.00330E-07
       13.250    7.79315E-11    2.27462E-07    3.93867E-07    3.12726E-09    6.24534E-07
       13.500    5.12128E-11    1.97139E-07    3.57808E-07    2.75960E-09    5.57758E-07
       13.750    3.36606E-11    1.71136E-07    3.25095E-07    2.43891E-09    4.98704E-07
       14.000    2.21280E-11    1.48749E-07    2.95493E-07    2.15833E-09    4.46422E-07
       14.250    1.45493E-11    1.29473E-07    2.68579E-07    1.91269E-09    3.99979E-07
       14.500    9.56791E-12    1.12810E-07    2.44169E-07    1.69697E-09    3.58685E-07
       14.750    6.29319E-12    9.84100E-08    2.21936E-07    1.50748E-09    3.21859E-07
       15.000    4.14002E-12    8.59167E-08    2.01734E-07    1.34050E-09    2.88995E-07
